LLRLRLRRRLRLRRRLRRRLRRLLRLLRRRLRLRRLLRLRLRRLRLRLLRLRRRLRLRRLRRLRRRLRRLRRLRRLLRRLLRRRLRRLRRLRRRLRLRRLRRLLLLRLRRLRLRRLLLRRLRRRLRRRLLRRRLRRRLRRLRRRLLLRRRLLLRRLRRLRRRLRRLRRRLRRLRRRLLRLRLRRRLRRLRLRLRRRLRLRLLLRRRLRRRLRRLRRLRLRRRLRRRLLRRRLRRLRLLLRRLLRRRLRRRLRRRLLRRRLLRRLRLRRRLRRLRRRR

AAA = (DFD, PLS)
BCG = (RNT, VJR)
BCN = (HFN, KFC)
BCR = (LKR, VQN)
BDS = (CXG, HXR)
BFF = (DXV, NMR)
BFS = (CHN, SFK)
BFX = (FPR, SNC)
BGC = (TRV, SJN)
BGN = (JJB, SMG)
BHC = (LMP, RML)
BHG = (BMN, HPH)
BHL = (PMP, PNV)
BJJ = (FLT, FRM)
BJT = (SNV, MMS)
BJV = (LQM, QMJ)
BKM = (CDC, PSH)
BKR = (HBR, KSQ)
BLG = (GMR, VTL)
BLN = (TSB, SHS)
BMG = (NDL, RKP)
BMN = (MPG, QMC)
BNB = (DNG, NCQ)
BPF = (PRG, QLS)
BQL = (XFB, CXJ)
BQR = (PPL, PHJ)
BQV = (RGS, FGG)
BRK = (DXJ, CNQ)
BRQ = (TDC, SDB)
BRS = (RDL, SRC)
BRX = (CXK, XGH)
BSG = (JQH, FBV)
BSP = (NBX, RSM)
BTD = (MLK, CRF)
BTG = (LVS, FNX)
BTH = (CRG, PNF)
BVB = (QSF, LQC)
BVN = (PXM, QVF)
BXG = (NMR, DXV)
CBJ = (LNH, LJD)
CBS = (RPQ, GSM)
CCB = (XSL, RSX)
CCL = (BNB, FSJ)
CDB = (BQV, NHX)
CDC = (TSK, TBQ)
CDL = (GRF, QFT)
CDR = (MRL, TBF)
CFH = (TBN, TJV)
CFQ = (XBD, NNB)
CGB = (NLF, TCF)
CGR = (CDC, PSH)
CGS = (CQJ, HQN)
CHG = (NDL, RKP)
CHM = (NXR, NXR)
CHN = (BPF, QPF)
CJB = (VRT, QNM)
CJK = (PMM, JGL)
CKT = (FVB, JQM)
CKV = (GND, NSV)
CLB = (MTK, LCF)
CLC = (DVN, DVR)
CMJ = (XLD, QVQ)
CMR = (LQR, RLS)
CMT = (JHM, KNX)
CNQ = (FRL, BVB)
CQJ = (PGL, KVX)
CRF = (DRH, BRS)
CRG = (GNG, FNV)
CRR = (BQR, XTD)
CRT = (MJG, MJG)
CSD = (GBR, TMH)
CSR = (RPP, HKT)
CTR = (TMH, GBR)
CTX = (RQX, SFN)
CVC = (XBD, NNB)
CVN = (TLM, PHH)
CXG = (VPN, DHJ)
CXJ = (KGL, BRQ)
CXK = (GKD, DPT)
CXS = (PLN, GXP)
DBF = (LST, SRX)
DBG = (MLN, NLT)
DBV = (SRX, LST)
DCH = (NFK, JNS)
DDJ = (FKH, NHM)
DDV = (SXC, FMN)
DFD = (MVH, KGP)
